ID,Name,Link,Exam,Questions,Answers
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2010 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret V11.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningsret V11.pdf
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,"2009 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret VR10.pdf,None
23,Forvaltningsret,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=23&fagnavn=Forvaltningsret,2009 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Forvaltningsret V10.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Forvaltningsret V10.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,2014 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/X2015W_IntTrade.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv X2015W_IntTrade_ALL_answers.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,2013 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Int Trade V13-14.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Int Trade v13-14.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,"2012 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/International Trade and Investment VR12-13.pdf,None
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,2012 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/International Trade and Investment V12-13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Int Trade V12-13.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,"2011 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Int Trade VR11-12.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Int Trade VR11-12.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,2011 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/International Trade Dec 11.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Int Trade V11-12.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,"2010 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Int Trade VR11 NY.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Int. Trade VR11.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,2010 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Int Trade V11.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Int. trade V11.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,"2009 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/International Trade VR10.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv International Trade VR10.pdf
25,International Trade and Investment: Theory and Policy,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=25&fagnavn=International%20Trade%20and%20Investment:%20Theory%20and%20Policy,2009 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/International Trade V10.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv International Trade V10.pdf
26,International Monetary Economics,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=26&fagnavn=International%20Monetary%20Economics,"2014 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/IME feb 15.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv IME ExamFebruary15_combined_Solutions.pdf
26,International Monetary Economics,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=26&fagnavn=International%20Monetary%20Economics,2014 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/IME jan 15.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv IME jan 15.pdf
26,International Monetary Economics,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=26&fagnavn=International%20Monetary%20Economics,"2013 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/IMEFebruary2014.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv IME VR13-14.pdf
26,International Monetary Economics,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=26&fagnavn=International%20Monetary%20Economics,2013 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/IMEJanuary2014.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv IME v13-14.pdf
26,International Monetary Economics,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=26&fagnavn=International%20Monetary%20Economics,"2012 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/IME VR12-13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv IME VR12-13.pdf
26,International Monetary Economics,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=26&fagnavn=International%20Monetary%20Economics,2012 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/IME V12-13.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv IME v12-13.pdf
